CHP ID,Pregnancy,PNC Visit Rate,PNC Visit Missed - #,Total U1 Assessments,Total U1 Treatments,Total U5 Assessments,Total U5 Treatments,U5 Malaria,U5 Diarrhea,U5 Pneumonia,On Time Referral f/u Treatment U5,Missed Visits,%mRDT,All Malaria Assessments,All Malaria Treatments,Act 6pack Issue,mRDT Used,Sales,Community Events,Households Registered
646279a6-4992-4535-a307-9a7ec2e6d3f2,0,0,0,0,0,6,2,0,2,0,0,0,1,1,0,0,1,0,1,139
77c25693-1564-49f4-8536-63d4ef4c427d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
8ae11f24-2e5d-4d2b-be4e-07e994198eff,0,0.5,0,0,0,6,6,1,2,3,0,0,1,1,1,1,1,0,0,87
97c3743f-2965-4a61-ad34-33f5ec797ba7,0,1,0,1,0,5,2,2,0,0,0.666666667,1,1,4,1,1,4,554,7,142
99a49a3f-d8a2-4a5d-87bc-e24daf27f0c1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
9d1b736e-6c68-4632-9b46-f15f4e4073d8,2,0,1,4,1,9,1,0,1,0,1,0,0.714285714,5,0,0,5,108,0,154
a6b8c06d-d62f-4c1b-98db-e7c38ff2fab9,1,0,0,0,0,2,1,1,0,0,0,0,1,1,1,2,1,0,0,146
ae387991-8352-4bc2-8fe7-522a6a6a3cac,2,1,0,5,0,19,4,4,0,0,0,1,0.238095238,5,5,20,5,490,0,155
b4793793-76b8-426e-a5d5-aa46cac2719a,0,0,0,0,0,9,9,7,2,0,0,0,1,11,5,6,11,530,2,70
b73a2a0c-d7b0-44c3-8976-a15d409494f3,0,0,0,2,0,6,3,0,0,3,1,0,1,1,0,0,1,0,0,124
b8470007-bccc-4bbb-99f1-2022af798db1,2,1,0,1,0,8,1,1,0,0,0,0,1,5,2,6,5,0,0,89
c17c40e1-8b37-4b5b-9d60-b3e9440fbd04,0,0,0,2,0,18,1,1,0,0,0,0,0.5,1,1,2,1,251,1,156
ca32b156-f36a-4db0-994a-9a41fa1c9128,2,0,0,2,2,11,6,3,3,0,1,0,0.75,3,2,2,3,490,0,175
cc22d6b2-f27e-4f09-97ad-32416e29e9cf,0,0,0,0,0,9,3,1,2,0,0,1,1,3,1,1,3,0,0,147
cc946d26-701d-4f30-a10e-3fe4795a0032,3,0,0,3,1,11,5,4,1,0,0.666666667,1,0.75,9,2,2,9,3650,0,120
d868426c-1ab1-4682-accd-e13ff4bd362e,0,1,0,1,1,2,2,2,0,0,0,0,1,6,6,15,6,631.38,1,134
fc1ede23-c27b-478e-a7dd-94105e24d39e,1,0,0,0,0,4,2,1,1,0,0,0,1,1,1,1,1,865.38,2,108
0365ccb3-779c-4b57-a4b9-ca3b85254457,1,0,0,0,0,4,0,0,0,0,0,0,1,3,1,4,3,0,3,95
11c02605-3935-4175-8c16-8680cfe767d6,0,0,0,3,4,10,11,9,2,0,1,0,1,9,9,12,9,260,0,57
14607cdd-e768-4a5a-ac7a-389d63e76b88,0,0,0,3,1,11,1,1,0,0,0,0,0.75,9,1,1,9,0,4,94
22a69cee-cfd9-42c6-8ad4-9c71df07f827,0,0.666666667,1,1,1,8,8,8,0,0,0,0,1,10,10,10,10,1053.28,1,112
35e093d2-81e0-4c43-b072-ddf5e9afdeab,1,0,0,1,0,9,1,1,0,0,0,0,0.875,7,4,13,7,1017.93,3,329
3a2fabab-66c6-4de6-b233-cc82edb872c7,0,0,0,2,0,17,7,6,1,0,1,0,0.875,7,4,8,7,0,1,53
3ca4a7fe-7f42-4571-969f-36288a6102f2,0,0,0,4,3,12,9,9,0,0,1,0,1,13,11,20,13,2131.93,3,107
4ef92055-5de9-4d12-923a-3586455bd534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
4f80c1ea-eea2-4cbf-8855-8782a56049ef,0,0,0,0,0,14,5,5,0,0,0,1,1,15,6,10,15,100,0,97
9c3c8eed-ac9b-4692-b548-eae502f7a20d,0,0,0,3,1,7,3,2,0,1,1,0,0.875,7,7,7,7,0,0,70
9d540a4d-b749-4332-b9fd-1da201a731df,0,1,0,6,1,16,6,6,0,0,0,0,1,16,7,11,16,0,3,83
b18f000a-d3d6-4245-83db-75e1a916926b,1,0,0,0,0,6,2,1,1,0,0,0,1,4,4,4,4,0,0,62
bed1b1aa-a769-43c5-ab3b-806abef826fa,0,1,0,2,1,13,8,2,0,6,0,0,0.363636364,4,2,3,4,0,2,56
e03b6843-2dbe-437d-b68f-42be0ca6bae0,0,0,0,1,1,6,7,5,0,2,0,0,1,8,7,18,8,0,4,125
ed3fafc4-d563-4f37-92a2-badc2c00255f,0,0.5,1,5,0,12,4,4,0,0,1,0,1,12,6,12,12,2582.21,0,62
07ace685-1228-4a7a-bbc3-485a6d7a96de,0,0,0,1,1,6,3,1,0,2,0,0,0.8,4,1,1,4,55,0,89
080cab8f-8d2a-49ff-bf63-f3a7b8eaf0da,0,0,0,0,0,9,7,3,0,4,0,0,0.857142857,6,2,4,6,0,0,74
0f59a011-7101-48bd-a059-c9032d11fa6f,0,0,0,0,0,5,1,0,0,1,0,0,1,4,0,0,4,0,1,138
3667ecde-fb56-4f3f-81e9-10393990ff24,0,0,0,1,0,6,1,1,0,0,0,0,1,10,2,3,10,490,1,85
3dd594c5-8986-41b2-8c32-e18cf3f97a01,0,0,0,2,1,11,9,8,1,0,1,0,1,9,8,9,9,0,1,97
52c58ed0-f41d-4b09-ba13-43c8ee1ed718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
568c4d6f-263c-4887-aa75-a542b0aeed8e,1,0,0,2,0,6,0,0,0,0,1,0,0,0,0,0,0,73.28,2,84
58fc18f2-ffe0-419d-acdb-c43402b92512,0,0,0,1,0,9,5,5,0,0,0,0,1,9,6,9,9,0,0,81
6919c3bd-6fd5-4cc7-b875-4442da5a6680,1,0,0,1,1,10,9,7,1,1,0,1,1,15,10,16,15,204,1,98
715e063b-d639-44d3-bb2e-34c0722c2820,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,109
774e1e86-7371-4308-9dd3-0870a14fa171,0,0,0,3,3,7,5,4,0,1,1,0,1,6,4,8,6,478.21,0,75
81174c70-950b-4ca8-9205-7f6736a9673f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
bab8e62b-1240-4c43-afe6-338ee370aa9c,2,0,0,1,0,6,2,0,0,2,0,2,0.5,1,0,0,1,0,0,168
bc54728a-ca5f-4bd5-af50-a9a0ef51afdc,0,0,0,2,2,11,12,11,0,1,0,0,1,12,12,13,12,0,5,124
bdaab249-7b98-438c-bfe7-ab24767670b7,0,0,0,0,0,7,2,0,2,0,0,0,0,0,0,0,0,0,0,119
bfdf4480-c020-4e00-82a8-caccdf7d1770,0,0,0,0,0,9,2,1,0,1,0,0,1,2,2,5,2,0,1,109
c871304f-21ab-461b-b1c0-6ff7633e4d81,1,1,0,1,0,8,0,0,0,0,0,0,1,2,2,8,2,0,0,155
cc7f40ce-fcdc-4469-a165-551c527c5d68,0,0,0,2,1,10,4,3,1,0,1,0,1,9,4,9,9,0,0,92
d7fa0f46-ae3b-42c5-ac78-7d038210caf6,0,0,1,4,0,14,5,4,0,1,1,0,1,8,5,11,8,274,1,134
d9d4aa52-89c3-4f4e-8583-0ca93bb17086,0,1,0,0,0,4,1,0,0,1,0,1,1,1,0,0,1,0,0,96
ef30c84d-e679-4a1b-ae33-b5b64545a5f3,1,0,1,0,0,7,2,2,0,0,0,0,1,3,3,7,3,0,1,138
f2b315e3-92ed-4ff9-8ee6-9ed8b88ae879,1,0,0,4,5,11,11,3,2,6,1,0,1,13,3,5,13,0,2,137
f51b6931-00b2-4ca0-a101-4cbb30811a14,1,1,0,3,1,10,2,0,1,1,0,0,1,1,0,0,1,0,0,106
